Direction,Title,Filename,Size_GB,Quality_Score,Reason,Needs_Review,Will_Replace
Ali → Chris,Willow (1988),Willow (1988) {imdb-tt0096446} [Bluray-1080p Proper][DV HDR10][FLAC 2.0][x265]-REBORN.mkv,20.81,1580,"Ali's version is higher quality (score: 1580 vs 1400, diff: +180)",YES,Willow (1988) {imdb-tt0096446} [Bluray-1080p][AC3 5.1][x264]-eMc2.mkv
Ali → Chris,African Cats (2011),African.Cats.2011.1080p.BluRay.REMUX.AVC.DTS-HD.MA.5.1-EPSiLON.mkv,21.68,1740,"Ali's version is higher quality (score: 1740 vs 1500, diff: +240)",YES,African Cats (2011) {imdb-tt1223236} [Remux-1080p][DTS-HD MA 5.1][h264]-EPSiLON.mkv
Ali → Chris,"Lover, The (1992)",The Lover (1992) {imdb-tt0101316} [Bluray-1080p][EAC3 5.1][x264]-c0kE.mkv,20.27,1450,"Ali's version is higher quality (score: 1450 vs 1300, diff: +150)",YES,The Lover (1992) {imdb-tt0101316} {edition-Remastered} [Bluray-1080p][DTS-HD MA 5.1][x264]-TUSAHD.mkv
Ali → Chris,The Book Thief (2013),The Book Thief (2013) {imdb-tt0816442} [Bluray-1080p][DTS 5.1][x264]-DON.mkv,16.67,1300,"Ali's version is higher quality (score: 1300 vs 1050, diff: +250)",YES,The Book Thief (2013) {imdb-tt0816442} [Bluray-720p][DTS 5.1][x264].mkv
Ali → Chris,Dirty Harry (1971),Dirty Harry (1971) {imdb-tt0066999} [Bluray-1080p][HDR10][FLAC 1.0][x265]-REBORN.mkv,14.61,1600,"Ali's version is higher quality (score: 1600 vs 1400, diff: +200)",YES,Dirty Harry (1971) {imdb-tt0066999} [Bluray-1080p][AC3 5.1][x264]-CtrlHD.mkv
Ali → Chris,Fearless (2020),Fearless (2020) {imdb-tt8675288} [NF][WEBDL-1080p][HDR10][EAC3 5.1][HEVC]-NTG.mkv,2.62,1550,"Ali's version is higher quality (score: 1550 vs 1450, diff: +100)",YES,Fearless (2006) {imdb-tt0446059} {edition-Director's Cut} [Bluray-1080p][EAC3 7.1][x264]-PTer.mkv
Ali → Chris,Weapons (2025),Weapons (2025) {imdb-tt26581740} - [Hybrid][Bluray-1080p][EAC3 7.1][x264]-ZoroSenpai.mkv,15.97,1450,"Ali's version is higher quality (score: 1450 vs 1250, diff: +200)",YES,Weapons (2025) {imdb-tt26581740} [MA][WEBDL-1080p Proper][EAC3 Atmos 5.1][x264]-BYNDR.mkv
Ali → Chris,One Shot (2021),one.shot.2021.1080p.bluray.x264-pignus.mkv,11.13,1300,"Ali's version is higher quality (score: 1300 vs 1200, diff: +100)",YES,One Shot (2021) {imdb-tt14199590} [WEBDL-1080p][AC3 5.1][h264]-CMRG.mkv
Ali → Chris,Bullet Train (2022),Bullet.Train.2022.1080p.UHD.BluRay.DD+7.1.DoVi.x265-SA89.mkv,17.86,2100,"Ali's version is higher quality (score: 2100 vs 1250, diff: +850)",YES,Bullet Train (2022) {imdb-tt12593682} [AMZN][WEBDL-1080p][EAC3 5.1][h264]-FLUX.mkv
Ali → Chris,Uncut Gems (2019),Uncut.Gems.2019.1080p.UHD.BluRay.Opus.7.1.DoVi.x265-NCmt.mkv,25.60,1950,"Ali's version is higher quality (score: 1950 vs 1250, diff: +700)",YES,Uncut Gems (2019) {imdb-tt5727208} [WEBDL-1080p][EAC3 Atmos 5.1][x264].mkv
Ali → Chris,Nonnas (2025),Nonnas (2025) {imdb-tt28309594} [NF][WEBDL-1080p][EAC3 Atmos 5.1][x264]-FLUX.mkv,4.48,1250,"Ali's version is higher quality (score: 1250 vs 1000, diff: +250)",YES,Nonnas (2025) {imdb-tt28309594} [WEBDL-720p][EAC3 Atmos 5.1][x264]-SYLiX.mkv
Ali → Chris,Out of Sight (1998),Out of Sight (1998) {imdb-tt0120780} [Bluray-1080p][DV HDR10][EAC3 5.1][x265]-c0kE.mkv,23.24,1730,"Ali's version is higher quality (score: 1730 vs 1300, diff: +430)",YES,Out of Sight (1998) {imdb-tt0120780} [Bluray-1080p][DTS 5.1][x264]-tranc.mkv
Ali → Chris,Red Sonja (1985),Red Sonja (1985) {imdb-tt0089893} [Bluray-1080p][EAC3 5.1][x264]-iFT.mkv,13.74,1450,"Ali's version is higher quality (score: 1450 vs 1300, diff: +150)",YES,Red Sonja (1985) {imdb-tt0089893} [Bluray-1080p][DTS 5.1][x264]-Japhson.mkv
Ali → Chris,2 Days in the Valley (1996),2 Days in the Valley (1996) {imdb-tt0115438} [Bluray-1080p][EAC3 5.1][x264]-c0kE.mkv,17.36,1450,"Ali's version is higher quality (score: 1450 vs 1150, diff: +300)",YES,2 Days in the Valley (1996) {imdb-tt0115438} [WEBRip-1080p][EAC3 5.1][x264].mkv
Ali → Chris,John Wick Chapter 4 (2022),John Wick Chapter 4 (2023) {imdb-tt10366206} [Bluray-1080p][DV HDR10][EAC3 7.1][x265]-c0kE.mkv,18.04,1730,"Ali's version is higher quality (score: 1730 vs 1250, diff: +480)",YES,John Wick Chapter 4 (2023) {imdb-tt10366206} [WEBDL-1080p][EAC3 Atmos 5.1][h264]-WDYM.mkv
Ali → Chris,Ex Machina (2015),Ex Machina (2015) {imdb-tt0470752} [Bluray-1080p][HDR10][DTS 5.1][x265]-D-Z0N3.mkv,22.32,1600,"Ali's version is higher quality (score: 1600 vs 1300, diff: +300)",YES,Ex Machina (2015) {imdb-tt0470752} [Bluray-1080p][DTS 5.1][x264].mkv
Ali → Chris,Little Fockers (2010),Little Fockers (2010) {imdb-tt0970866} [Bluray-1080p][EAC3 5.1][x264]-hallowed.mkv,7.32,1450,"Ali's version is higher quality (score: 1450 vs 1400, diff: +50)",YES,Little Fockers (2010) {imdb-tt0970866} [Bluray-1080p][AC3 5.1][x264]-BHDStudio.mp4
Ali → Chris,Migration (2023),Migration (2023) {imdb-tt6495056} [Bluray-1080p][TrueHD Atmos 7.1][x264]-ROEN.mkv,12.62,1550,"Ali's version is higher quality (score: 1550 vs 1250, diff: +300)",YES,Migration (2023) {imdb-tt6495056} [WEBDL-1080p][EAC3 Atmos 5.1][x264]-FLUX.mkv
Ali → Chris,American Gangster (2007),American Gangster (2007) {imdb-tt0765429} {edition-Unrated} [Bluray-1080p][DV HDR10Plus][EAC3 7.1][x265]-SM737.mkv,11.52,1730,"Ali's version is higher quality (score: 1730 vs 1300, diff: +430)",YES,American Gangster (2007) {imdb-tt0765429} {edition-Unrated} [Bluray-1080p][DTS 5.1][x264]-decibeL.mkv
Ali → Chris,Goodfellas (1990),Goodfellas.(1990).1080p.UHD.BluRay.DD+5.1.HDR.x265-DON.mkv,28.86,2200,"Ali's version is higher quality (score: 2200 vs 1750, diff: +450)",YES,GoodFellas (1990) {imdb-tt0099685} [Bluray-1080p][HDR10][EAC3 5.1][x265]-DON.mkv
Ali → Chris,"Batman - The Dark Knight Returns, Part 2 (2013)",Batman The Dark Knight Returns Part 2 (2013) {imdb-tt2166834} [Bluray-1080p][AC3 5.1][x264]-BHDStudio.mp4,4.48,1400,"Ali's version is higher quality (score: 1400 vs 1250, diff: +150)",YES,Batman The Dark Knight Returns Part 2 (2013) {imdb-tt2166834} [WEBDL-1080p][EAC3 5.1][x264]-Kitsune.mkv
Ali → Chris,Independence Day Resurgence (2016),Independence.Day.Resurgence.2016.1080p.UHD.BluRay.DD+7.1.HDR.x265-CtrlHD.mkv,15.13,2200,"Ali's version is higher quality (score: 2200 vs 1750, diff: +450)",YES,Independence Day Resurgence (2016) {imdb-tt1628841} [Bluray-1080p][HDR10][EAC3 7.1][x265]-CtrlHD.mkv
Ali → Chris,Until Dawn (2025),Until Dawn (2025) {imdb-tt30955489} - [Hybrid][Bluray-1080p][EAC3 Atmos 5.1][DV HDR10Plus][x265]-HiDt.mkv,14.00,1730,"Ali's version is higher quality (score: 1730 vs 1250, diff: +480)",YES,Until Dawn (2025) {imdb-tt30955489} [MA][WEBDL-1080p][EAC3 Atmos 5.1][x264]-HONE.mkv
Ali → Chris,La La Land (2016),La La Land (2016) {imdb-tt3783958} [Bluray-1080p][HDR10][EAC3 Atmos 7.1][x265]-NCmt.mkv,16.67,1750,"Ali's version is higher quality (score: 1750 vs 1400, diff: +350)",YES,La La Land (2016) {imdb-tt3783958} [Bluray-1080p][AC3 5.1][x264]-LoRD.mkv
Ali → Chris,Murder on the Orient Express (2017),Murder.on.the.Orient.Express.2017.1080p.UHD.BluRay.DDP7.1.HDR.x265.D-Z0N3.mkv,13.58,2150,"Ali's version is higher quality (score: 2150 vs 1300, diff: +850)",YES,Murder on the Orient Express (2017) {imdb-tt3402236} [Bluray-1080p][DTS-ES 5.1][x264].mkv
Ali → Chris,Dolemite Is My Name (2019),Dolemite Is My Name (2019) {imdb-tt8526872} - [NF][WEBDL-1080p][EAC3 Atmos 5.1][DV][HEVC]-FLUX.mkv,5.56,1400,"Ali's version is higher quality (score: 1400 vs 1250, diff: +150)",YES,Dolemite Is My Name (2019) {imdb-tt8526872} [WEBDL-1080p][EAC3 Atmos 5.1][x264]-NTG.mkv
Ali → Chris,Vivo (2021),Vivo.2021.1080p.BluRay.DD+5.1.x264-iFT.mkv,12.36,1450,"Ali's version is higher quality (score: 1450 vs 1250, diff: +200)",YES,Vivo (2021) {imdb-tt6338498} [NF][WEBDL-1080p][EAC3 Atmos 5.1][x264]-EVO.mkv
Ali → Chris,Violent Night (2022),Violent Night (2022) {imdb-tt12003946} [Bluray-1080p][EAC3 Atmos 7.1][x264]-TDD.mkv,16.28,1450,"Ali's version is higher quality (score: 1450 vs 1250, diff: +200)",YES,Violent Night (2022) {imdb-tt12003946} [MA][WEBDL-1080p][EAC3 Atmos 5.1][x264]-FLUX.mkv
Ali → Chris,Mr. Monks Last Case A Monk Movie (2023),Mr. Monks Last Case A Monk Movie (2023) {imdb-tt27145269} [Bluray-1080p][DV HDR10][EAC3 5.1][x265]-PTer.mkv,11.28,1730,"Ali's version is higher quality (score: 1730 vs 1250, diff: +480)",YES,Mr. Monk's Last Case A Monk Movie (2023) {imdb-tt27145269} [WEBDL-1080p][EAC3 5.1][h264]-DiMEPiECE.mkv
Ali → Chris,Materialists (2025),Materialists (2025) {imdb-tt30253473} - [Bluray-1080p][EAC3 7.1][x264]-ZoroSenpai.mkv,18.41,1450,"Ali's version is higher quality (score: 1450 vs 1250, diff: +200)",YES,Materialists (2025) {imdb-tt30253473} [WEBDL-1080p][EAC3 Atmos 5.1][h264]-SLOT.mkv
Ali → Chris,Pleasure (2021),Pleasure (2021) {imdb-tt8550054} - [Bluray-1080p Proper][EAC3 Atmos 7.1][x264]-EA.mkv,12.45,1450,"Ali's version is higher quality (score: 1450 vs 1400, diff: +50)",YES,Pleasure (2021) {imdb-tt8550054} [Bluray-1080p][AC3 5.1][x264]-BHDStudio.mp4
Ali → Chris,"Prince of Egypt, The (1998)",The Prince of Egypt (1998) {imdb-tt0120794} [Bluray-1080p][HDR10][EAC3 7.1][x265]-LEGi0N.mkv,13.61,1750,"Ali's version is higher quality (score: 1750 vs 950, diff: +800)",YES,The Prince of Egypt (1998) {imdb-tt0120794} [WEBDL-720p][AC3 5.1][h264]-CtrlHD.mkv
Ali → Chris,From Russia With Love (1963),From Russia with Love (1963) {imdb-tt0057076} [Bluray-1080p][DV HDR10][EAC3 Atmos 5.1][x265]-HiDt.mkv,24.06,1730,"Ali's version is higher quality (score: 1730 vs 1300, diff: +430)",YES,From Russia with Love (1963) {imdb-tt0057076} [Bluray-1080p][DTS 5.1][x264].mkv
Ali → Chris,Suicide Squad Hell to Pay (2018),Suicide Squad Hell to Pay (2018) {imdb-tt7167602} [Bluray-1080p][AC3 5.1][x264]-decibeL.mkv,4.41,1400,"Ali's version is higher quality (score: 1400 vs 1250, diff: +150)",YES,Suicide Squad Hell to Pay (2018) {imdb-tt7167602} [WEBDL-1080p][EAC3 5.1][x264]-Kitsune.mkv
