Direction,Title,Filename,Size_GB,Quality_Score,Reason
Ali → Chris,juliet naked lord mkv,Juliet Naked (2018) {imdb-tt5607096} [Bluray-1080p][DTS 5.1][x264]-LoRD.mkv,10.77,0,Only Ali has this file
Ali → Chris,shame hybrid p dd5 1 sa89 mkv,Shame.2011.Hybrid.1080p.BluRay.DD5.1.x264-SA89.mkv,13.84,0,Only Ali has this file
Ali → Chris,good night oppy flux mkv,Good Night Oppy (2022) {imdb-tt14179942} [AMZN][WEBDL-1080p][EAC3 5.1][h264]-FLUX.mkv,6.23,0,Only Ali has this file
Ali → Chris,an american tail fievel goes west p d z0n3 mkv,An.American.Tail.Fievel.Goes.West.1991.1080p.BluRay.DTS.x264.D-Z0N3.mkv,10.38,0,Only Ali has this file
Ali → Chris,batman assault on arkham p sbr mkv,Batman.Assault.on.Arkham.2014.1080p.BluRay.DTS.x264-SbR.mkv,7.39,0,Only Ali has this file
Ali → Chris,st elmos fire pig30n mkv,St. Elmos Fire (1985) {imdb-tt0090060} [Bluray-1080p][DV HDR10][EAC3 7.1][x265]-PiG30N.mkv,15.92,0,Only Ali has this file
Ali → Chris,clean p ddp5 1 ift mkv,Clean.2021.1080p.BluRay.DDP5.1.x264-iFT.mkv,10.42,0,Only Ali has this file
Ali → Chris,season of the witch p 5 1 playhd mkv,Season.of.the.Witch.2011.1080p.BluRay.DD+5.1.x264-playHD.mkv,12.00,0,Only Ali has this file
Ali → Chris,the midnight sky p nf ddp5 1 flux mkv,The.Midnight.Sky.2020.1080p.NF.WEB-DL.DDP5.1.Atmos.DV.HEVC-FLUX.mkv,5.31,0,Only Ali has this file
Ali → Chris,runaway jury decibel mkv,Runaway Jury (2003) {imdb-tt0313542} [Bluray-1080p][DTS 5.1][x264]-decibeL.mkv,16.43,0,Only Ali has this file
Ali → Chris,letters to juliet p dd5 1 sa89 mkv,Letters.to.Juliet.2010.1080p.BluRay.DD5.1.x264-SA89.mkv,9.12,0,Only Ali has this file
Ali → Chris,black panther wakanda forever c0ke mkv,Black Panther Wakanda Forever (2022) {imdb-tt9114286} [Bluray-1080p][DV HDR10][EAC3 7.1][x265]-c0kE.mkv,11.25,0,Only Ali has this file
Ali → Chris,bad boys for life d z0n3 mkv,Bad Boys for Life (2020) {imdb-tt1502397} [Bluray-1080p][HDR10][EAC3 7.1][x265]-D-Z0N3.mkv,8.22,0,Only Ali has this file
Ali → Chris,flight risk knives mkv,Flight Risk (2025) {imdb-tt10078772} [Bluray-1080p][TrueHD Atmos 7.1][x264]-KNiVES.mkv,15.48,0,Only Ali has this file
Ali → Chris,prison break the final break playhd mkv,Prison Break The Final Break (2009) {imdb-tt1131748} [Bluray-1080p][EAC3 5.1][x264]-playHD.mkv,12.55,0,Only Ali has this file
Ali → Chris,the thomas crown affair don mkv,The Thomas Crown Affair (1999) {imdb-tt0155267} [Bluray-1080p][AC3 5.1][x264]-DON.mkv,14.24,0,Only Ali has this file
Ali → Chris,night shift byndr mkv,Night Shift (2024) {imdb-tt13380324} [AMZN][WEBDL-1080p][EAC3 5.1][h264]-BYNDR.mkv,5.80,0,Only Ali has this file
Ali → Chris,kill 'em all 2 kitsune mkv,Kill 'em All 2 (2024) {imdb-tt6549510} [AMZN][WEBDL-1080p][EAC3 5.1][h264]-Kitsune.mkv,6.09,0,Only Ali has this file
Ali → Chris,the lion king d z0n3 mkv,The Lion King (1994) {imdb-tt0110357} [Bluray-1080p][HDR10][EAC3 7.1][x265]-D-Z0N3.mkv,5.05,0,Only Ali has this file
Ali → Chris,death of a salesman bhdstudio mp4,Death of a Salesman (1985) {imdb-tt0089006} [Bluray-1080p][AC3 2.0][x264]-BHDStudio.mp4,7.94,0,Only Ali has this file
Ali → Chris,clue pter mkv,Clue (1985) {imdb-tt0088930} - [Bluray-1080p][FLAC 2.0][DV HDR10][x265]-PTer.mkv,13.67,0,Only Ali has this file
Ali → Chris,the way of the dragon putao mkv,The Way of the Dragon (1972) {imdb-tt0068935} [Bluray-1080p][DTS 5.1][x264]-PuTao.mkv,14.16,0,Only Ali has this file
Ali → Chris,ernest saves christmas ntb mkv,Ernest Saves Christmas (1988) {imdb-tt0095107} [WEBRip-1080p][EAC3 2.0][x264]-NTb.mkv,9.30,0,Only Ali has this file
Ali → Chris,the flash c0ke mkv,The Flash (2023) {imdb-tt0439572} [Bluray-1080p][DV HDR10][EAC3 7.1][x265]-c0kE.mkv,16.79,0,Only Ali has this file
