Title,Winner,Ali_File,Ali_Score,Chris_File,Chris_Score,Action,Deleted_Path,Reason
Heat (1995),ali,Heat (1995) {tmdb-949} - [Remux-2160p][DTS-HD MA 5.1][HDR10][HEVC]-FraMeSToR.mkv,7500,Heat (1995) {tmdb-949} - {edition-Directors} [WEBDL-2160p][DTS-HD MA 5.1][HDR10][HEVC]-BLUTONiUM.mkv,6500,"MOVE Chris's to Deleted, COPY Ali's to Chris",/mnt/synology/rs-4kmedia/deleted/4K Movies,Ali's version is higher quality (+1000)
The Godfather Part III (1990),ali,The Godfather Part III (1990) {tmdb-242} - {edition-Directors Cut} [Bluray-2160p][TrueHD 5.1][DV HDR10][x265]-SPHD.mkv,7150,,0,COPY Ali → Chris,,Only Ali has this file
Highlander (1986),tie,Highlander (1986) {tmdb-8009} - [Bluray-2160p][DTS-HD MA 5.1][DV HDR10][x265]-W4NK3R.mkv,7100,Highlander (1986) {tmdb-8009} - [Bluray-2160p][DTS-HD MA 5.1][DV HDR10][x265]-W4NK3R.mkv,7100,NO ACTION (keep both),,Both versions are equal quality (7100)
The Matrix Revolutions (2003),ali,The Matrix Revolutions (2003) {tmdb-605} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-W4NK3R.mkv,7200,The Matrix Revolutions (2003) {tmdb-605} - [Bluray-2160p][EAC3 5.1][HDR10][x265]-d3g.mkv,6750,"MOVE Chris's to Deleted, COPY Ali's to Chris",/mnt/synology/rs-4kmedia/deleted/4K Movies,Ali's version is higher quality (+450)
Deadpool (2016),chris,Deadpool (2016) {tmdb-293660} - [Hybrid][Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-SEV.mkv,7200,Deadpool (2016) {tmdb-293660} - [Remux-2160p][TrueHD Atmos 7.1][HDR10][h265].mkv,7600,"MOVE Ali's to Deleted, COPY Chris's to Ali",/mnt/unraid/media/Deleted Movies,Chris's version is higher quality (+400)
Kingdom of the Planet of the Apes (2024),ali,Kingdom of the Planet of the Apes (2024) {tmdb-653346} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10Plus][x265]-W4NK3R.mkv,7200,,0,COPY Ali → Chris,,Only Ali has this file
Godzilla vs. Kong (2021),ali,Godzilla vs. Kong (2021) {tmdb-399566} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10Plus][x265]-W4NK3R.mkv,7200,,0,COPY Ali → Chris,,Only Ali has this file
The Shawshank Redemption (1994),ali,The Shawshank Redemption (1994) {tmdb-278} - [Bluray-2160p][EAC3 5.1][DV HDR10][x265]-hallowed.mkv,6817,,0,COPY Ali → Chris,,Only Ali has this file
Lawrence of Arabia (1962),ali,Lawrence of Arabia (1962) {tmdb-947} - [Remux-2160p][TrueHD Atmos 7.1][HDR10][HEVC]-FraMeSToR.mkv,7600,,0,COPY Ali → Chris,,Only Ali has this file
The Matrix Reloaded (2003),ali,The Matrix Reloaded (2003) {tmdb-604} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-W4NK3R.mkv,7200,The Matrix Reloaded (2003) {tmdb-604} - [Bluray-2160p][TrueHD Atmos 7.1][HDR10][x265]-CtrlHD.mkv,7100,"MOVE Chris's to Deleted, COPY Ali's to Chris",/mnt/synology/rs-4kmedia/deleted/4K Movies,Ali's version is higher quality (+100)
The Hobbit The Desolation of Smaug (2013),tie,The Hobbit The Desolation of Smaug (2013) {tmdb-57158} - {edition-Extended Cut} [Remux-2160p][TrueHD Atmos 7.1][DV HDR10][HEVC]-FraMeSToR.mkv,7700,The Hobbit The Desolation of Smaug (2013) {tmdb-57158} - {edition-Extended Cut} [Remux-2160p][TrueHD Atmos 7.1][DV HDR10][HEVC]-FraMeSToR.mkv,7700,NO ACTION (keep both),,Both versions are equal quality (7700)
Oppenheimer (2023),tie,Oppenheimer (2023) {tmdb-872585} - [Bluray-2160p][DTS-HD MA 5.1][DV HDR10][x265]-MainFrame.mkv,7100,Oppenheimer (2023) {tmdb-872585} - [Bluray-2160p][DTS-HD MA 5.1][DV HDR10][x265]-MainFrame.mkv,7100,NO ACTION (keep both),,Both versions are equal quality (7100)
Star Trek II The Wrath of Khan (1982),ali,Star Trek II The Wrath of Khan (1982) {tmdb-154} - {edition-Theatrical Cut} [Bluray-2160p Proper][EAC3 7.1][DV HDR10][x265]-hallowed.mkv,6799,Star Trek II The Wrath of Khan (1982) {tmdb-154} - {edition-Director's Cut} [Bluray-2160p][AC3 5.1][HDR10][x265]-BHDStudio.mp4,6634,"MOVE Chris's to Deleted, COPY Ali's to Chris",/mnt/synology/rs-4kmedia/deleted/4K Movies,Ali's version is higher quality (+165)
Deadpool 2 (2018),chris,Deadpool 2 (2018) {tmdb-383498} - [Bluray-2160p][TrueHD Atmos 7.1][HDR10][x265]-MainFrame.mkv,7100,Deadpool 2 (2018) {tmdb-383498} - [Remux-2160p][TrueHD Atmos 7.1][HDR10][h265].mkv,7600,"MOVE Ali's to Deleted, COPY Chris's to Ali",/mnt/unraid/media/Deleted Movies,Chris's version is higher quality (+500)
