Title,Winner,Ali_File,Ali_Score,Chris_File,Chris_Score,Action,Deleted_Path,Reason
Croupier (1998),ali,Croupier (1998) {tmdb-12706} - [Bluray-1080p][FLAC 2.0][x264]-RO.mkv,3764,,0,COPY Ali → Chris,,Only Ali has this file
Trust (2025),chris,,0,Trust (2025) {tmdb-1244953} - [AMZN][WEBDL-720p][EAC3 5.1][h264]-KHN.mkv,2272,COPY Chris → Ali,,Only Chris has this file
Alien (1979),ali,Alien (1979) {tmdb-348} - {edition-Directors Cut} [Bluray-1080p][DTS 5.1][HDR10Plus][x265]-Geek.mkv,4453,Alien (1979) {tmdb-348} - [Bluray-1080p][DTS-HD MA 5.1][x264].mkv,4127,"MOVE Chris's to Deleted, COPY Ali's to Chris",/mnt/synology/rs-4kmedia/deleted/Movies,Ali's version is higher quality (+326)
Trap House (2025),tie,Trap House (2025) {tmdb-628847} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-FLUX.mkv,3294,Trap House (2025) {tmdb-628847} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-FLUX.mkv,3294,NO ACTION (keep both),,Both versions are equal quality (3294)
The Funhouse Massacre (2015),ali,The Funhouse Massacre (2015) {tmdb-363889} - [Bluray-1080p][DTS 5.1][x264]-SADPANDA.mkv,3865,The Funhouse Massacre (2015) {tmdb-363889} - [Bluray-1080p][DTS 5.1][x264]-SADPANDA.mkv,3862,"MOVE Chris's to Deleted, COPY Ali's to Chris",/mnt/synology/rs-4kmedia/deleted/Movies,Ali's version is higher quality (+3)
Shutter Island (2010),tie,Shutter Island (2010) {tmdb-11324} - [Bluray-1080p][EAC3 5.1][DV HDR10][x265]-HiDt.mkv,4440,Shutter Island (2010) {tmdb-11324} - [Bluray-1080p][EAC3 5.1][DV HDR10][x265]-HiDt.mkv,4440,NO ACTION (keep both),,Both versions are equal quality (4440)
Blink Twice (2024),ali,Blink Twice (2024) {tmdb-840705} - [Hybrid][Bluray-1080p][EAC3 Atmos 5.1][x264]-BiTOR.mkv,4250,Blink Twice (2024) {tmdb-840705} - [AMZN][WEBDL-1080p][EAC3 Atmos 5.1][h264]-FLUX.mkv,3668,"MOVE Chris's to Deleted, COPY Ali's to Chris",/mnt/synology/rs-4kmedia/deleted/Movies,Ali's version is higher quality (+582)
Ill Be Home for Christmas (2016),chris,,0,Ill Be Home for Christmas (2016) {tmdb-421632} - [AMZN][WEBDL-1080p][EAC3 2.0][h264]-EDGE2020.mkv,3308,COPY Chris → Ali,,Only Chris has this file
Mostly Ghostly Have You Met My Ghoulfriend (2014),tie,Mostly Ghostly Have You Met My Ghoulfriend (2014) {tmdb-289239} - [Bluray-1080p][DTS 5.1][x264]-RUSTED.mkv,3865,Mostly Ghostly Have You Met My Ghoulfriend (2014) {tmdb-289239} - [Bluray-1080p][DTS 5.1][x264]-rusted.mkv,3865,NO ACTION (keep both),,Both versions are equal quality (3865)
MaXXXine (2024),ali,MaXXXine (2024) {tmdb-1023922} - [Bluray-1080p][EAC3 7.1][x264]-ATELiER.mkv,3905,MaXXXine (2024) {tmdb-1023922} - [AMZN][WEBDL-1080p][EAC3 Atmos 5.1][h264]-FLUX.mkv,3671,"MOVE Chris's to Deleted, COPY Ali's to Chris",/mnt/synology/rs-4kmedia/deleted/Movies,Ali's version is higher quality (+234)
