title,filename,path,relative_path,size_bytes,size_gb,resolution,width,height,video_codec,audio_codec,hdr,source,group,duration_minutes,bitrate_mbps
Monster House (2006),Monster House (2006) {tmdb-9297} - [Bluray-1080p][EAC3 5.1][x264]-playHD.mkv,/mnt/synology/rs-movies/Monster House (2006)/Monster House (2006) {tmdb-9297} - [Bluray-1080p][EAC3 5.1][x264]-playHD.mkv,Monster House (2006)/Monster House (2006) {tmdb-9297} - [Bluray-1080p][EAC3 5.1][x264]-playHD.mkv,11253107770,10.48,1080p,,,H.264,DD+,,BluRay,,,
The Wrath of Becky (2023),The Wrath of Becky (2023) {tmdb-986070} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-SCOPE.mkv,/mnt/synology/rs-movies/The Wrath of Becky (2023)/The Wrath of Becky (2023) {tmdb-986070} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-SCOPE.mkv,The Wrath of Becky (2023)/The Wrath of Becky (2023) {tmdb-986070} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-SCOPE.mkv,3481658439,3.24,1080p,,,H.264,DD+,,WEB-DL,,,
Havoc (2005),Havoc (2005) {tmdb-14695} - [WEBRip-1080p][EAC3 2.0][x264]-KiNGS.mkv,/mnt/synology/rs-movies/Havoc (2005)/Havoc (2005) {tmdb-14695} - [WEBRip-1080p][EAC3 2.0][x264]-KiNGS.mkv,Havoc (2005)/Havoc (2005) {tmdb-14695} - [WEBRip-1080p][EAC3 2.0][x264]-KiNGS.mkv,7956188120,7.41,1080p,,,H.264,DD+,,WEBRip,,,
A Christmas Carol (2009),A Christmas Carol (2009) {tmdb-17979} - [Bluray-1080p][AC3 5.1][x264]-EbP.mkv,/mnt/synology/rs-movies/A Christmas Carol (2009)/A Christmas Carol (2009) {tmdb-17979} - [Bluray-1080p][AC3 5.1][x264]-EbP.mkv,A Christmas Carol (2009)/A Christmas Carol (2009) {tmdb-17979} - [Bluray-1080p][AC3 5.1][x264]-EbP.mkv,6262484298,5.83,1080p,,,H.264,DD,,BluRay,,,
Inspector Gadget (1999),Inspector Gadget (1999) {tmdb-332} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-QOQ.mkv,/mnt/synology/rs-movies/Inspector Gadget (1999)/Inspector Gadget (1999) {tmdb-332} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-QOQ.mkv,Inspector Gadget (1999)/Inspector Gadget (1999) {tmdb-332} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-QOQ.mkv,7130934219,6.64,1080p,,,H.264,DD+,,WEB-DL,,,
Advantageous (2015),Advantageous (2015) {tmdb-308457} - [NF][WEBDL-1080p][EAC3 5.1][x264]-ExREN.mkv,/mnt/synology/rs-movies/Advantageous (2015)/Advantageous (2015) {tmdb-308457} - [NF][WEBDL-1080p][EAC3 5.1][x264]-ExREN.mkv,Advantageous (2015)/Advantageous (2015) {tmdb-308457} - [NF][WEBDL-1080p][EAC3 5.1][x264]-ExREN.mkv,3196899248,2.98,1080p,,,H.264,DD+,DV,WEB-DL,,,
Motherhood (2009),Motherhood (2009) {tmdb-22805} - [Bluray-720p][DTS 5.1][x264].mkv,/mnt/synology/rs-movies/Motherhood (2009)/Motherhood (2009) {tmdb-22805} - [Bluray-720p][DTS 5.1][x264].mkv,Motherhood (2009)/Motherhood (2009) {tmdb-22805} - [Bluray-720p][DTS 5.1][x264].mkv,4693420641,4.37,720p,,,H.264,DTS,,BluRay,,,
Saw X (2023),Saw X (2023) {tmdb-951491} - [AMZN][WEBDL-1080p][EAC3 Atmos 5.1][h264]-FLUX.mkv,/mnt/synology/rs-movies/Saw X (2023)/Saw X (2023) {tmdb-951491} - [AMZN][WEBDL-1080p][EAC3 Atmos 5.1][h264]-FLUX.mkv,Saw X (2023)/Saw X (2023) {tmdb-951491} - [AMZN][WEBDL-1080p][EAC3 Atmos 5.1][h264]-FLUX.mkv,8738139071,8.14,1080p,,,H.264,DD+,,WEB-DL,,,
Non-Stop (2014),Non-Stop (2014) {tmdb-225574} - [Bluray-720p][DTS 5.1][x264].mkv,/mnt/synology/rs-movies/Non-Stop (2014)/Non-Stop (2014) {tmdb-225574} - [Bluray-720p][DTS 5.1][x264].mkv,Non-Stop (2014)/Non-Stop (2014) {tmdb-225574} - [Bluray-720p][DTS 5.1][x264].mkv,4692338507,4.37,720p,,,H.264,DTS,,BluRay,,,
The Girl in the Spiders Web (2018),The Girl in the Spiders Web (2018) {tmdb-446807} - [Bluray-1080p][AC3 5.1][x264]-DON.mkv,/mnt/synology/rs-movies/The Girl in the Spiders Web (2018)/The Girl in the Spiders Web (2018) {tmdb-446807} - [Bluray-1080p][AC3 5.1][x264]-DON.mkv,The Girl in the Spiders Web (2018)/The Girl in the Spiders Web (2018) {tmdb-446807} - [Bluray-1080p][AC3 5.1][x264]-DON.mkv,13508977998,12.58,1080p,,,H.264,DD,,BluRay,,,
