title,filename,path,relative_path,size_bytes,size_gb,resolution,width,height,video_codec,audio_codec,hdr,source,group,duration_minutes,bitrate_mbps
Rubikon (2022),Rubikon (2022) {tmdb-793961} - [Bluray-1080p][EAC3 5.1][x264]-LEGi0N.mkv,/mnt/media/Movies/Rubikon (2022)/Rubikon (2022) {tmdb-793961} - [Bluray-1080p][EAC3 5.1][x264]-LEGi0N.mkv,Rubikon (2022)/Rubikon (2022) {tmdb-793961} - [Bluray-1080p][EAC3 5.1][x264]-LEGi0N.mkv,12871805816,11.99,1080p,,,H.264,DD+,,BluRay,,,
Burlesque (2010),Burlesque (2010) {tmdb-42297} - [Bluray-1080p][EAC3 5.1][x264]-PTer.mkv,/mnt/media/Movies/Burlesque (2010)/Burlesque (2010) {tmdb-42297} - [Bluray-1080p][EAC3 5.1][x264]-PTer.mkv,Burlesque (2010)/Burlesque (2010) {tmdb-42297} - [Bluray-1080p][EAC3 5.1][x264]-PTer.mkv,14733081881,13.72,1080p,,,H.264,DD+,,BluRay,,,
Midnight Run (1988),Midnight Run (1988) {tmdb-9013} - [Bluray-1080p][FLAC 2.0][DV HDR10][x265]-PTer.mkv,/mnt/media/Movies/Midnight Run (1988)/Midnight Run (1988) {tmdb-9013} - [Bluray-1080p][FLAC 2.0][DV HDR10][x265]-PTer.mkv,Midnight Run (1988)/Midnight Run (1988) {tmdb-9013} - [Bluray-1080p][FLAC 2.0][DV HDR10][x265]-PTer.mkv,21407424558,19.94,1080p,,,H.265,FLAC,DV HDR10,BluRay,,,
Terrifier 2 (2022),Terrifier 2 (2022) {tmdb-663712} - [Bluray-1080p][EAC3 5.1][DV HDR10][x265]-SQS.mkv,/mnt/media/Movies/Terrifier 2 (2022)/Terrifier 2 (2022) {tmdb-663712} - [Bluray-1080p][EAC3 5.1][DV HDR10][x265]-SQS.mkv,Terrifier 2 (2022)/Terrifier 2 (2022) {tmdb-663712} - [Bluray-1080p][EAC3 5.1][DV HDR10][x265]-SQS.mkv,9547674444,8.89,1080p,,,H.265,DD+,DV HDR10,BluRay,,,
Raw Deal (1986),Raw Deal (1986) {tmdb-2099} - [Bluray-1080p][EAC3 5.1][DV HDR10][x265]-SJK.mkv,/mnt/media/Movies/Raw Deal (1986)/Raw Deal (1986) {tmdb-2099} - [Bluray-1080p][EAC3 5.1][DV HDR10][x265]-SJK.mkv,Raw Deal (1986)/Raw Deal (1986) {tmdb-2099} - [Bluray-1080p][EAC3 5.1][DV HDR10][x265]-SJK.mkv,20855142556,19.42,1080p,,,H.265,DD+,DV HDR10,BluRay,,,
Scary Movie (2000),Scary Movie (2000) {tmdb-4247} - [Bluray-1080p][AC3 5.1][x264]-CtrlHD.mkv,/mnt/media/Movies/Scary Movie (2000)/Scary Movie (2000) {tmdb-4247} - [Bluray-1080p][AC3 5.1][x264]-CtrlHD.mkv,Scary Movie (2000)/Scary Movie (2000) {tmdb-4247} - [Bluray-1080p][AC3 5.1][x264]-CtrlHD.mkv,8111875775,7.55,1080p,,,H.264,DD,,BluRay,,,
Woodstock 99 Peace Love and Rage (2021),Woodstock 99 Peace Love and Rage (2021) {tmdb-848562} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-FLUX.mkv,/mnt/media/Movies/Woodstock 99 Peace Love and Rage (2021)/Woodstock 99 Peace Love and Rage (2021) {tmdb-848562} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-FLUX.mkv,Woodstock 99 Peace Love and Rage (2021)/Woodstock 99 Peace Love and Rage (2021) {tmdb-848562} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-FLUX.mkv,8877703884,8.27,1080p,,,H.264,DD+,,WEB-DL,,,
Honk for Jesus. Save Your Soul. (2022),Honk for Jesus. Save Your Soul. (2022) {tmdb-848331} - [Bluray-1080p][EAC3 5.1][x264]-LEGi0N.mkv,/mnt/media/Movies/Honk for Jesus. Save Your Soul. (2022)/Honk for Jesus. Save Your Soul. (2022) {tmdb-848331} - [Bluray-1080p][EAC3 5.1][x264]-LEGi0N.mkv,Honk for Jesus. Save Your Soul. (2022)/Honk for Jesus. Save Your Soul. (2022) {tmdb-848331} - [Bluray-1080p][EAC3 5.1][x264]-LEGi0N.mkv,14913230115,13.89,1080p,,,H.264,DD+,,BluRay,,,
Three Billboards Outside Ebbing Missouri (2017),Three Billboards Outside Ebbing Missouri (2017) {tmdb-359940} - [Bluray-1080p][EAC3 5.1][DV HDR10][x265]-SA89.mkv,/mnt/media/Movies/Three Billboards Outside Ebbing Missouri (2017)/Three Billboards Outside Ebbing Missouri (2017) {tmdb-359940} - [Bluray-1080p][EAC3 5.1][DV HDR10][x265]-SA89.mkv,Three Billboards Outside Ebbing Missouri (2017)/Three Billboards Outside Ebbing Missouri (2017) {tmdb-359940} - [Bluray-1080p][EAC3 5.1][DV HDR10][x265]-SA89.mkv,19608916794,18.26,1080p,,,H.265,DD+,DV HDR10,BluRay,,,
The Ice Age Adventures of Buck Wild (2022),The Ice Age Adventures of Buck Wild (2022) {tmdb-774825} - [DSNP][WEBDL-1080p][EAC3 Atmos 5.1][h264]-TEPES.mkv,/mnt/media/Movies/The Ice Age Adventures of Buck Wild (2022)/The Ice Age Adventures of Buck Wild (2022) {tmdb-774825} - [DSNP][WEBDL-1080p][EAC3 Atmos 5.1][h264]-TEPES.mkv,The Ice Age Adventures of Buck Wild (2022)/The Ice Age Adventures of Buck Wild (2022) {tmdb-774825} - [DSNP][WEBDL-1080p][EAC3 Atmos 5.1][h264]-TEPES.mkv,4934952340,4.6,1080p,,,H.264,DD+,DV,WEB-DL,,,
Jack Whitehall At Large (2017),Jack Whitehall At Large (2017) {tmdb-479269} - [NF][WEBDL-1080p][AC3 5.1][x264]-QOQ.mkv,/mnt/media/Movies/Jack Whitehall At Large (2017)/Jack Whitehall At Large (2017) {tmdb-479269} - [NF][WEBDL-1080p][AC3 5.1][x264]-QOQ.mkv,Jack Whitehall At Large (2017)/Jack Whitehall At Large (2017) {tmdb-479269} - [NF][WEBDL-1080p][AC3 5.1][x264]-QOQ.mkv,1590149656,1.48,1080p,,,H.264,DD,,WEB-DL,,,
