title,filename,path,relative_path,size_bytes,size_gb,resolution,width,height,video_codec,audio_codec,hdr,source,group,duration_minutes,bitrate_mbps
Ready Player One (2018),Ready Player One (2018) {tmdb-333339} - [Bluray-2160p][TrueHD Atmos 7.1][HDR10][x265]-HQMUX.mkv,/mnt/synology/rs-4kmedia/4kmovies/Ready Player One (2018)/Ready Player One (2018) {tmdb-333339} - [Bluray-2160p][TrueHD Atmos 7.1][HDR10][x265]-HQMUX.mkv,Ready Player One (2018)/Ready Player One (2018) {tmdb-333339} - [Bluray-2160p][TrueHD Atmos 7.1][HDR10][x265]-HQMUX.mkv,33759165530,31.44,2160p,,,H.265,TrueHD,HDR10,BluRay,,,
Red Sparrow (2018),Red Sparrow (2018) {tmdb-401981} - [Bluray-2160p][TrueHD Atmos 7.1][HDR10][x265]-WhiteRhino.mkv,/mnt/synology/rs-4kmedia/4kmovies/Red Sparrow (2018)/Red Sparrow (2018) {tmdb-401981} - [Bluray-2160p][TrueHD Atmos 7.1][HDR10][x265]-WhiteRhino.mkv,Red Sparrow (2018)/Red Sparrow (2018) {tmdb-401981} - [Bluray-2160p][TrueHD Atmos 7.1][HDR10][x265]-WhiteRhino.mkv,15158346077,14.12,2160p,,,H.265,TrueHD,HDR10,BluRay,,,
Resident Evil Welcome to Raccoon City (2021),Resident Evil Welcome to Raccoon City (2021) {tmdb-460458} - [WEBDL-2160p][EAC3 5.1][HDR10Plus][h265].mkv,/mnt/synology/rs-4kmedia/4kmovies/Resident Evil Welcome to Raccoon City (2021)/Resident Evil Welcome to Raccoon City (2021) {tmdb-460458} - [WEBDL-2160p][EAC3 5.1][HDR10Plus][h265].mkv,Resident Evil Welcome to Raccoon City (2021)/Resident Evil Welcome to Raccoon City (2021) {tmdb-460458} - [WEBDL-2160p][EAC3 5.1][HDR10Plus][h265].mkv,12265723696,11.42,2160p,,,H.265,DD+,HDR10+,WEB-DL,,,
Return of the Jedi (1983),Return of the Jedi (1983) {tmdb-1892} - [Remux-2160p][TrueHD Atmos 7.1][HDR10][h265].mkv,/mnt/synology/rs-4kmedia/4kmovies/Return of the Jedi (1983)/Return of the Jedi (1983) {tmdb-1892} - [Remux-2160p][TrueHD Atmos 7.1][HDR10][h265].mkv,Return of the Jedi (1983)/Return of the Jedi (1983) {tmdb-1892} - [Remux-2160p][TrueHD Atmos 7.1][HDR10][h265].mkv,48111189287,44.81,2160p,,,H.265,TrueHD,HDR10,Remux,,,
Riddick (2013),Riddick (2013) {tmdb-87421} - {edition-Director's Cut} [Bluray-2160p][DTS-HD MA 5.1][DV HDR10][x265]-SPHD.mkv,/mnt/synology/rs-4kmedia/4kmovies/Riddick (2013)/Riddick (2013) {tmdb-87421} - {edition-Director's Cut} [Bluray-2160p][DTS-HD MA 5.1][DV HDR10][x265]-SPHD.mkv,Riddick (2013)/Riddick (2013) {tmdb-87421} - {edition-Director's Cut} [Bluray-2160p][DTS-HD MA 5.1][DV HDR10][x265]-SPHD.mkv,48743150049,45.4,2160p,,,H.265,DTS-HD,DV HDR10,BluRay,,,
Rocketman (2019),Rocketman (2019) {tmdb-504608} - [Bluray-2160p][TrueHD Atmos 7.1][HDR10][x265].mkv,/mnt/synology/rs-4kmedia/4kmovies/Rocketman (2019)/Rocketman (2019) {tmdb-504608} - [Bluray-2160p][TrueHD Atmos 7.1][HDR10][x265].mkv,Rocketman (2019)/Rocketman (2019) {tmdb-504608} - [Bluray-2160p][TrueHD Atmos 7.1][HDR10][x265].mkv,20099425643,18.72,2160p,,,H.265,TrueHD,HDR10,BluRay,,,
Saving Private Ryan (1998),Saving Private Ryan (1998) {tmdb-857} - [Bluray-2160p][TrueHD Atmos 7.1][HDR10][x265]-IAMABLE.mkv,/mnt/synology/rs-4kmedia/4kmovies/Saving Private Ryan (1998)/Saving Private Ryan (1998) {tmdb-857} - [Bluray-2160p][TrueHD Atmos 7.1][HDR10][x265]-IAMABLE.mkv,Saving Private Ryan (1998)/Saving Private Ryan (1998) {tmdb-857} - [Bluray-2160p][TrueHD Atmos 7.1][HDR10][x265]-IAMABLE.mkv,44125238267,41.09,2160p,,,H.265,TrueHD,HDR10,BluRay,,,
Shazam! (2019),Shazam! (2019) {tmdb-287947} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-W4NK3R.mkv,/mnt/synology/rs-4kmedia/4kmovies/Shazam! (2019)/Shazam! (2019) {tmdb-287947} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-W4NK3R.mkv,Shazam! (2019)/Shazam! (2019) {tmdb-287947} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-W4NK3R.mkv,53068842385,49.42,2160p,,,H.265,TrueHD,DV HDR10,BluRay,,,
Shazam! Fury of the Gods (2023),Shazam! Fury of the Gods (2023) {tmdb-594767} - [Remux-2160p][TrueHD Atmos 7.1][DV HDR10][h265].mkv,/mnt/synology/rs-4kmedia/4kmovies/Shazam! Fury of the Gods (2023)/Shazam! Fury of the Gods (2023) {tmdb-594767} - [Remux-2160p][TrueHD Atmos 7.1][DV HDR10][h265].mkv,Shazam! Fury of the Gods (2023)/Shazam! Fury of the Gods (2023) {tmdb-594767} - [Remux-2160p][TrueHD Atmos 7.1][DV HDR10][h265].mkv,61291314225,57.08,2160p,,,H.265,TrueHD,DV HDR10,Remux,,,
Solo A Star Wars Story (2018),Solo A Star Wars Story (2018) {tmdb-348350} - [Bluray-2160p Proper][TrueHD Atmos 7.1][HDR10][x265]-TnP.mkv,/mnt/synology/rs-4kmedia/4kmovies/Solo A Star Wars Story (2018)/Solo A Star Wars Story (2018) {tmdb-348350} - [Bluray-2160p Proper][TrueHD Atmos 7.1][HDR10][x265]-TnP.mkv,Solo A Star Wars Story (2018)/Solo A Star Wars Story (2018) {tmdb-348350} - [Bluray-2160p Proper][TrueHD Atmos 7.1][HDR10][x265]-TnP.mkv,39940081775,37.2,2160p,,,H.265,TrueHD,HDR10,BluRay,,,
