title,filename,path,size_bytes,size_gb,resolution,width,height,video_codec,audio_codec,hdr,source,group,duration_minutes,bitrate_mbps
Seems Like Old Times (1980),Seems Like Old Times (1980) {imdb-tt0081480} [AMZN][WEBDL-1080p][EAC3 2.0][x264]-ABM.mkv,/mnt/synology/rs-movies/Seems Like Old Times (1980)/Seems Like Old Times (1980) {imdb-tt0081480} [AMZN][WEBDL-1080p][EAC3 2.0][x264]-ABM.mkv,11127492228,10.36,1080p,1920.0,1080.0,H.264,DD+,,WEB-DL,,160.1,9.27
Christmas at the Plaza (2019),Christmas at the Plaza (2019) {imdb-tt10921042} [HDTV-1080p][AC3 5.1][x264]-ADDOLD.mkv,/mnt/synology/rs-movies/Christmas at the Plaza (2019)/Christmas at the Plaza (2019) {imdb-tt10921042} [HDTV-1080p][AC3 5.1][x264]-ADDOLD.mkv,4340688214,4.04,1080p,1920.0,1072.0,H.264,DD,,HDTV,,82.4,7.03
Jack Whitehall At Large (2017),Jack Whitehall At Large (2017) {imdb-tt7539884} [NF][WEBDL-1080p][AC3 5.1][x264]-QOQ.mkv,/mnt/synology/rs-movies/Jack Whitehall At Large (2017)/Jack Whitehall At Large (2017) {imdb-tt7539884} [NF][WEBDL-1080p][AC3 5.1][x264]-QOQ.mkv,1590149656,1.48,1080p,1920.0,1080.0,H.264,DD,,WEB-DL,,67.8,3.13
Magpie (2024),Magpie (2024) {imdb-tt20202324} [AMZN][WEBDL-1080p][EAC3 5.1][h264]-FLUX.mkv,/mnt/synology/rs-movies/Magpie (2024)/Magpie (2024) {imdb-tt20202324} [AMZN][WEBDL-1080p][EAC3 5.1][h264]-FLUX.mkv,5728479471,5.34,1080p,1920.0,1040.0,H.264,DD+,,WEB-DL,,90.1,8.48
Liar Liar (1997),Liar Liar (1997) {imdb-tt0119528} [Bluray-1080p][EAC3 5.1][x264]-honeyvera.mkv,/mnt/synology/rs-movies/Liar Liar (1997)/Liar Liar (1997) {imdb-tt0119528} [Bluray-1080p][EAC3 5.1][x264]-honeyvera.mkv,11093988729,10.33,1080p,1920.0,1040.0,H.264,DD+,,BluRay,,86.4,17.11
The LEGO Movie (2014),The Lego Movie (2014) {imdb-tt1490017} [Bluray-1080p][DTS 5.1][x264]-CyTSuNee.mkv,/mnt/synology/rs-movies/The LEGO Movie (2014)/The Lego Movie (2014) {imdb-tt1490017} [Bluray-1080p][DTS 5.1][x264]-CyTSuNee.mkv,8522373953,7.94,1080p,1920.0,802.0,H.264,DTS,,BluRay,,100.6,11.3
Kalki 2898-AD (2024),Kalki 2898-AD (2024) {imdb-tt12735488} [AMZN][WEBDL-1080p][EAC3 5.1][h264]-XEBEC.mkv,/mnt/synology/rs-movies/Kalki 2898-AD (2024)/Kalki 2898-AD (2024) {imdb-tt12735488} [AMZN][WEBDL-1080p][EAC3 5.1][h264]-XEBEC.mkv,13281049088,12.37,1080p,1920.0,800.0,H.264,DD+,,WEB-DL,,175.8,10.08
Harold Kumar Go to White Castle (2004),Harold & Kumar Go to White Castle (2004) {imdb-tt0366551} [Bluray-1080p][DTS-ES 5.1][x264].mkv,/mnt/synology/rs-movies/Harold Kumar Go to White Castle (2004)/Harold & Kumar Go to White Castle (2004) {imdb-tt0366551} [Bluray-1080p][DTS-ES 5.1][x264].mkv,8534099211,7.95,1080p,1920.0,1040.0,H.264,DTS,,BluRay,,88.4,12.87
BMX Bandits (1983),BMX Bandits (1983) {imdb-tt0085204} [Remux-1080p][FLAC 2.0][AVC]-DIESEL.mkv,/mnt/synology/rs-movies/BMX Bandits (1983)/BMX Bandits (1983) {imdb-tt0085204} [Remux-1080p][FLAC 2.0][AVC]-DIESEL.mkv,26850197737,25.01,1080p,1920.0,1080.0,H.264,FLAC,,Remux,,90.8,39.41
"Christmas Cup, The (2025)",The Christmas Cup (2025) {imdb-tt38354991} [WEBDL-1080p][EAC3 2.0][h264]-NoRBiT.mkv,"/mnt/synology/rs-movies/Christmas Cup, The (2025)/The Christmas Cup (2025) {imdb-tt38354991} [WEBDL-1080p][EAC3 2.0][h264]-NoRBiT.mkv",5180583129,4.82,1080p,1920.0,1080.0,H.264,DD+,,WEB-DL,,84.0,8.22
Dumplin' (2018),Dumplin' (2018) {imdb-tt4878482} [NF][WEBDL-1080p][EAC3 5.1][x264]-CMRG.mkv,/mnt/synology/rs-movies/Dumplin' (2018)/Dumplin' (2018) {imdb-tt4878482} [NF][WEBDL-1080p][EAC3 5.1][x264]-CMRG.mkv,4743228878,4.42,1080p,1920.0,1080.0,H.264,DD+,,WEB-DL,,110.2,5.74
Bridget Jones Mad About the Boy (2025),Bridget Jones Mad About the Boy (2025) {imdb-tt32063050} [AMZN][WEBDL-1080p][EAC3 5.1][h264]-FLUX.mkv,/mnt/synology/rs-movies/Bridget Jones Mad About the Boy (2025)/Bridget Jones Mad About the Boy (2025) {imdb-tt32063050} [AMZN][WEBDL-1080p][EAC3 5.1][h264]-FLUX.mkv,9513617625,8.86,1080p,1920.0,800.0,H.264,DD+,,WEB-DL,,124.7,10.17
