title,show_folder,filename,path,relative_path,size_bytes,size_gb,resolution,width,height,video_codec,audio_codec,hdr,source,group,duration_minutes,bitrate_mbps,tvdb_id,tmdb_id,imdb_id,year,season,episode,episode_title
The Mummy (1999),The Mummy (1999),The Mummy (1999) {tmdb-564} - [Bluray-2160p][DTS-X 7.1][HDR10][x265]-IAMABLE.mkv,/mnt/synology/rs-4kmedia/4kmovies/The Mummy (1999)/The Mummy (1999) {tmdb-564} - [Bluray-2160p][DTS-X 7.1][HDR10][x265]-IAMABLE.mkv,The Mummy (1999)/The Mummy (1999) {tmdb-564} - [Bluray-2160p][DTS-X 7.1][HDR10][x265]-IAMABLE.mkv,34922390576,32.52,2160p,3840,1636,H.265,DTS:X,HDR10,BluRay,,124.8,37.3,,564,,1999,,,
The Outfit (2022),The Outfit (2022),The Outfit (2022) {tmdb-799876} - [WEBDL-2160p][AC3 5.1][HDR10][h265].mkv,/mnt/synology/rs-4kmedia/4kmovies/The Outfit (2022)/The Outfit (2022) {tmdb-799876} - [WEBDL-2160p][AC3 5.1][HDR10][h265].mkv,The Outfit (2022)/The Outfit (2022) {tmdb-799876} - [WEBDL-2160p][AC3 5.1][HDR10][h265].mkv,11810548463,11.0,2160p,3840,1920,H.265,DD,HDR10,WEB-DL,,105.4,14.94,,799876,,2022,,,
The Predator (2018),The Predator (2018),The Predator (2018) {tmdb-346910} - [Remux-2160p][TrueHD Atmos 7.1][HDR10][HEVC]-BluDragon.mkv,/mnt/synology/rs-4kmedia/4kmovies/The Predator (2018)/The Predator (2018) {tmdb-346910} - [Remux-2160p][TrueHD Atmos 7.1][HDR10][HEVC]-BluDragon.mkv,The Predator (2018)/The Predator (2018) {tmdb-346910} - [Remux-2160p][TrueHD Atmos 7.1][HDR10][HEVC]-BluDragon.mkv,50970065009,47.47,2160p,3840,2160,H.265,TrueHD,HDR10,Remux,,107.0,63.54,,346910,,2018,,,
The Revenant (2015),The Revenant (2015),The Revenant (2015) {tmdb-281957} - [Remux-2160p][DTS-HD MA 7.1][HDR10][HEVC]-FraMeSToR.mkv,/mnt/synology/rs-4kmedia/4kmovies/The Revenant (2015)/The Revenant (2015) {tmdb-281957} - [Remux-2160p][DTS-HD MA 7.1][HDR10][HEVC]-FraMeSToR.mkv,The Revenant (2015)/The Revenant (2015) {tmdb-281957} - [Remux-2160p][DTS-HD MA 7.1][HDR10][HEVC]-FraMeSToR.mkv,48836555747,45.48,2160p,3840,2160,H.265,DTS-HD,HDR10,Remux,,156.4,41.65,,281957,,2015,,,
Thor Ragnarok (2017),Thor Ragnarok (2017),Thor Ragnarok (2017) {tmdb-284053} - [Bluray-2160p][TrueHD Atmos 7.1][HDR10Plus][x265]-UnKn0wn.mkv,/mnt/synology/rs-4kmedia/4kmovies/Thor Ragnarok (2017)/Thor Ragnarok (2017) {tmdb-284053} - [Bluray-2160p][TrueHD Atmos 7.1][HDR10Plus][x265]-UnKn0wn.mkv,Thor Ragnarok (2017)/Thor Ragnarok (2017) {tmdb-284053} - [Bluray-2160p][TrueHD Atmos 7.1][HDR10Plus][x265]-UnKn0wn.mkv,21593469530,20.11,2160p,3840,1608,H.265,TrueHD,HDR10+,BluRay,,130.5,22.06,,284053,,2017,,,
Top Gun (1986),Top Gun (1986),Top Gun (1986) {tmdb-744} - [Bluray-2160p][TrueHD Atmos 7.1][DV][h265]-SHD.mkv,/mnt/synology/rs-4kmedia/4kmovies/Top Gun (1986)/Top Gun (1986) {tmdb-744} - [Bluray-2160p][TrueHD Atmos 7.1][DV][h265]-SHD.mkv,Top Gun (1986)/Top Gun (1986) {tmdb-744} - [Bluray-2160p][TrueHD Atmos 7.1][DV][h265]-SHD.mkv,24692474732,23.0,2160p,3840,2160,H.265,TrueHD,DV,BluRay,,109.4,30.08,,744,,1986,,,
Top Gun Maverick (2022),Top Gun Maverick (2022),Top Gun Maverick (2022) {tmdb-361743} - [WEBDL-2160p][EAC3 Atmos 5.1][DV HDR10Plus][h265].mkv,/mnt/synology/rs-4kmedia/4kmovies/Top Gun Maverick (2022)/Top Gun Maverick (2022) {tmdb-361743} - [WEBDL-2160p][EAC3 Atmos 5.1][DV HDR10Plus][h265].mkv,Top Gun Maverick (2022)/Top Gun Maverick (2022) {tmdb-361743} - [WEBDL-2160p][EAC3 Atmos 5.1][DV HDR10Plus][h265].mkv,24639337706,22.95,2160p,3840,2024,H.265,DD+,DV HDR10,WEB-DL,,130.2,25.22,,361743,,2022,,,
Total Recall (1990),Total Recall (1990),Total Recall (1990) {tmdb-861} - [Remux-2160p][TrueHD Atmos 7.1][DV HDR10][h265].mkv,/mnt/synology/rs-4kmedia/4kmovies/Total Recall (1990)/Total Recall (1990) {tmdb-861} - [Remux-2160p][TrueHD Atmos 7.1][DV HDR10][h265].mkv,Total Recall (1990)/Total Recall (1990) {tmdb-861} - [Remux-2160p][TrueHD Atmos 7.1][DV HDR10][h265].mkv,76307107799,71.07,2160p,3840,2160,H.265,TrueHD,DV HDR10,Remux,,113.3,89.82,,861,,1990,,,
Twister (1996),Twister (1996),Twister (1996) {tmdb-664} - [Remux-1080p][TrueHD Atmos 7.1][x264].mkv,/mnt/synology/rs-4kmedia/4kmovies/Twister (1996)/Twister (1996) {tmdb-664} - [Remux-1080p][TrueHD Atmos 7.1][x264].mkv,Twister (1996)/Twister (1996) {tmdb-664} - [Remux-1080p][TrueHD Atmos 7.1][x264].mkv,27919595650,26.0,1080p,1920,1080,H.264,TrueHD,,Remux,,112.9,32.96,,664,,1996,,,
Twisters (2024),Twisters (2024),Twisters (2024) {tmdb-718821} - [WEBDL-2160p][EAC3 Atmos 5.1][DV HDR10Plus][h265]-FLUX.mkv,/mnt/synology/rs-4kmedia/4kmovies/Twisters (2024)/Twisters (2024) {tmdb-718821} - [WEBDL-2160p][EAC3 Atmos 5.1][DV HDR10Plus][h265]-FLUX.mkv,Twisters (2024)/Twisters (2024) {tmdb-718821} - [WEBDL-2160p][EAC3 Atmos 5.1][DV HDR10Plus][h265]-FLUX.mkv,23407500311,21.8,2160p,3840,1606,H.265,DD+,DV HDR10,WEB-DL,,122.4,25.51,,718821,,2024,,,
Uncharted (2022),Uncharted (2022),Uncharted (2022) {tmdb-335787} - [WEBDL-2160p][EAC3 Atmos 5.1][h265].mkv,/mnt/synology/rs-4kmedia/4kmovies/Uncharted (2022)/Uncharted (2022) {tmdb-335787} - [WEBDL-2160p][EAC3 Atmos 5.1][h265].mkv,Uncharted (2022)/Uncharted (2022) {tmdb-335787} - [WEBDL-2160p][EAC3 Atmos 5.1][h265].mkv,22078701192,20.56,2160p,3840,2160,H.265,DD+,,WEB-DL,,115.9,25.39,,335787,,2022,,,
War for the Planet of the Apes (2017),War for the Planet of the Apes (2017),War for the Planet of the Apes (2017) {tmdb-281338} - [Bluray-2160p][TrueHD Atmos 7.1][HDR10][x265]-Absinth.mkv,/mnt/synology/rs-4kmedia/4kmovies/War for the Planet of the Apes (2017)/War for the Planet of the Apes (2017) {tmdb-281338} - [Bluray-2160p][TrueHD Atmos 7.1][HDR10][x265]-Absinth.mkv,War for the Planet of the Apes (2017)/War for the Planet of the Apes (2017) {tmdb-281338} - [Bluray-2160p][TrueHD Atmos 7.1][HDR10][x265]-Absinth.mkv,24515341736,22.83,2160p,3840,1600,H.265,TrueHD,HDR10,BluRay,,140.2,23.32,,281338,,2017,,,
Wonder Woman (2017),Wonder Woman (2017),Wonder Woman (2017) {tmdb-297762} - [Bluray-2160p][TrueHD Atmos 7.1][HDR10][x265]-CtrlHD.mkv,/mnt/synology/rs-4kmedia/4kmovies/Wonder Woman (2017)/Wonder Woman (2017) {tmdb-297762} - [Bluray-2160p][TrueHD Atmos 7.1][HDR10][x265]-CtrlHD.mkv,Wonder Woman (2017)/Wonder Woman (2017) {tmdb-297762} - [Bluray-2160p][TrueHD Atmos 7.1][HDR10][x265]-CtrlHD.mkv,48069432506,44.77,2160p,3840,1600,H.265,TrueHD,HDR10,BluRay,,141.3,45.37,,297762,,2017,,,
Wonder Woman 1984 (2020),Wonder Woman 1984 (2020),Wonder Woman 1984 (2020) {tmdb-464052} - [HMAX][WEBDL-2160p][EAC3 Atmos 5.1][HDR10][HEVC]-TOMMY.mkv,/mnt/synology/rs-4kmedia/4kmovies/Wonder Woman 1984 (2020)/Wonder Woman 1984 (2020) {tmdb-464052} - [HMAX][WEBDL-2160p][EAC3 Atmos 5.1][HDR10][HEVC]-TOMMY.mkv,Wonder Woman 1984 (2020)/Wonder Woman 1984 (2020) {tmdb-464052} - [HMAX][WEBDL-2160p][EAC3 Atmos 5.1][HDR10][HEVC]-TOMMY.mkv,21180090476,19.73,2160p,3840,2160,H.265,DD+,HDR10,WEB-DL,,151.1,18.69,,464052,,2020,,,
Zombieland (2009),Zombieland (2009),Zombieland (2009) {tmdb-19908} - [Bluray-2160p][TrueHD Atmos 7.1][HDR10][x265]-IAMABLE.mkv,/mnt/synology/rs-4kmedia/4kmovies/Zombieland (2009)/Zombieland (2009) {tmdb-19908} - [Bluray-2160p][TrueHD Atmos 7.1][HDR10][x265]-IAMABLE.mkv,Zombieland (2009)/Zombieland (2009) {tmdb-19908} - [Bluray-2160p][TrueHD Atmos 7.1][HDR10][x265]-IAMABLE.mkv,15081816630,14.05,2160p,3840,1606,H.265,TrueHD,HDR10,BluRay,,87.7,22.93,,19908,,2009,,,
