title,filename,path,relative_path,size_bytes,size_gb,resolution,width,height,video_codec,audio_codec,hdr,source,group,duration_minutes,bitrate_mbps
Star Trek VI The Undiscovered Country (1991),Star Trek VI The Undiscovered Country (1991) Bluray-2160p.mkv,/mnt/synology/rs-4kmedia/4kmovies/Star Trek VI The Undiscovered Country (1991)/Star Trek VI The Undiscovered Country (1991) Bluray-2160p.mkv,Star Trek VI The Undiscovered Country (1991)/Star Trek VI The Undiscovered Country (1991) Bluray-2160p.mkv,22691914538,21.13,2160p,3840,1632,H.265,,,BluRay,,113.4,26.69
Star Wars (1977),Star Wars (1977) Remux-2160p.mkv,/mnt/synology/rs-4kmedia/4kmovies/Star Wars (1977)/Star Wars (1977) Remux-2160p.mkv,Star Wars (1977)/Star Wars (1977) Remux-2160p.mkv,52636206068,49.02,2160p,3840,2160,H.265,,DV,Remux,,124.8,56.25
Tenet (2020),Tenet (2020) {imdb-tt6723592} [Bluray-2160p Proper][HDR10][DTS-HD MA 5.1][x265]-CtrlHD.mkv,/mnt/synology/rs-4kmedia/4kmovies/Tenet (2020)/Tenet (2020) {imdb-tt6723592} [Bluray-2160p Proper][HDR10][DTS-HD MA 5.1][x265]-CtrlHD.mkv,Tenet (2020)/Tenet (2020) {imdb-tt6723592} [Bluray-2160p Proper][HDR10][DTS-HD MA 5.1][x265]-CtrlHD.mkv,36297868261,33.81,2160p,3840,2160,H.265,DTS-HD,HDR10,BluRay,,150.2,32.23
Terminator Dark Fate (2019),Terminator Dark Fate (2019) {imdb-tt6450804} [Bluray-2160p Proper][DV HDR10][TrueHD Atmos 7.1][x265]-DON.mkv,/mnt/synology/rs-4kmedia/4kmovies/Terminator Dark Fate (2019)/Terminator Dark Fate (2019) {imdb-tt6450804} [Bluray-2160p Proper][DV HDR10][TrueHD Atmos 7.1][x265]-DON.mkv,Terminator Dark Fate (2019)/Terminator Dark Fate (2019) {imdb-tt6450804} [Bluray-2160p Proper][DV HDR10][TrueHD Atmos 7.1][x265]-DON.mkv,28677543469,26.71,2160p,3840,1608,H.265,TrueHD,DV HDR10,BluRay,,128.1,29.85
The Abyss (1989),The Abyss (1989) {imdb-tt0096754} {edition-Special Edition} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,/mnt/synology/rs-4kmedia/4kmovies/The Abyss (1989)/The Abyss (1989) {imdb-tt0096754} {edition-Special Edition} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,The Abyss (1989)/The Abyss (1989) {imdb-tt0096754} {edition-Special Edition} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,35786735192,33.33,2160p,3840,1604,H.265,TrueHD,DV HDR10,BluRay,,171.0,27.9
The Avengers (2012),The.Avengers.2012.REPACK.2160p.UHD.BluRay.REMUX.HDR.HEVC.Atmos-EPSiLON.mkv,/mnt/synology/rs-4kmedia/4kmovies/The Avengers (2012)/The.Avengers.2012.REPACK.2160p.UHD.BluRay.REMUX.HDR.HEVC.Atmos-EPSiLON.mkv,The Avengers (2012)/The.Avengers.2012.REPACK.2160p.UHD.BluRay.REMUX.HDR.HEVC.Atmos-EPSiLON.mkv,52333434503,48.74,2160p,3840,2160,H.265,,HDR,Remux,,142.9,48.82
The Batman (2022),The Batman (2022) {imdb-tt1877830} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,/mnt/synology/rs-4kmedia/4kmovies/The Batman (2022)/The Batman (2022) {imdb-tt1877830} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,The Batman (2022)/The Batman (2022) {imdb-tt1877830} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,46320821907,43.14,2160p,3840,1608,H.265,TrueHD,DV HDR10,BluRay,,176.2,35.05
The Chronicles of Riddick (2004),The Chronicles of Riddick (2004) {imdb-tt0296572} {edition-Director's Cut} [Bluray-2160p][DV HDR10][DTS-HD MA 5.1][x265]-SPHD.mkv,/mnt/synology/rs-4kmedia/4kmovies/The Chronicles of Riddick (2004)/The Chronicles of Riddick (2004) {imdb-tt0296572} {edition-Director's Cut} [Bluray-2160p][DV HDR10][DTS-HD MA 5.1][x265]-SPHD.mkv,The Chronicles of Riddick (2004)/The Chronicles of Riddick (2004) {imdb-tt0296572} {edition-Director's Cut} [Bluray-2160p][DV HDR10][DTS-HD MA 5.1][x265]-SPHD.mkv,61111131462,56.91,2160p,3840,1600,H.265,DTS-HD,DV HDR10,BluRay,,134.1,60.77
The Dark Knight (2008),The Dark Knight 2008 2160p UHD Blu-ray Remux HEVC DTS-HD MA 5.1 - BluDragon.mkv,/mnt/synology/rs-4kmedia/4kmovies/The Dark Knight (2008)/The Dark Knight 2008 2160p UHD Blu-ray Remux HEVC DTS-HD MA 5.1 - BluDragon.mkv,The Dark Knight (2008)/The Dark Knight 2008 2160p UHD Blu-ray Remux HEVC DTS-HD MA 5.1 - BluDragon.mkv,58571114949,54.55,2160p,3840,2160,H.265,DTS-HD,,Remux,,152.2,51.31
The Dark Knight Rises (2012),The Dark Knight Rises 2012 2160p UHD Blu-ray Remux HEVC DTS-HD MA 5.1 - BluDragon.mkv,/mnt/synology/rs-4kmedia/4kmovies/The Dark Knight Rises (2012)/The Dark Knight Rises 2012 2160p UHD Blu-ray Remux HEVC DTS-HD MA 5.1 - BluDragon.mkv,The Dark Knight Rises (2012)/The Dark Knight Rises 2012 2160p UHD Blu-ray Remux HEVC DTS-HD MA 5.1 - BluDragon.mkv,74310780663,69.21,2160p,3840,2160,H.265,DTS-HD,,Remux,,164.5,60.22
The Empire Strikes Back (1980),The Empire Strikes Back (1980) Bluray-2160p.mkv,/mnt/synology/rs-4kmedia/4kmovies/The Empire Strikes Back (1980)/The Empire Strikes Back (1980) Bluray-2160p.mkv,The Empire Strikes Back (1980)/The Empire Strikes Back (1980) Bluray-2160p.mkv,33536526487,31.23,2160p,3840,1608,H.265,,,BluRay,,127.4,35.1
