Direction,Title,Filename,Size_GB,Quality_Score,Reason
Ali → Chris,terminator 2 judgment day remastered theatrical cut ger p blu ray ma 5 1 bludragon mkv,Terminator 2 Judgment Day 1991 Remastered Theatrical Cut GER 2160p UHD Blu-ray Remux HEVC DTS-HD MA 5.1 - BluDragon.mkv,48.96,0,Only Ali has this file
Ali → Chris,a space odyssey framestor mkv,2001 A Space Odyssey (1968) {imdb-tt0062622} [Remux-2160p Proper][DV HDR10][DTS-HD MA 5.1][HEVC]-FraMeSToR.mkv,72.05,0,Only Ali has this file
Ali → Chris,what happened to monday ben mkv,What Happened to Monday (2017) {imdb-tt1536537} [Bluray-2160p][PQ][TrueHD 5.1][x265]-BEN.mkv,24.74,0,Only Ali has this file
Ali → Chris,spider man no way home w4nk3r mkv,Spider-Man No Way Home (2021) {imdb-tt10872600} [Bluray-2160p Proper][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,22.66,0,Only Ali has this file
Ali → Chris,guardians of the galaxy sphd mkv,Guardians of the Galaxy (2014) {imdb-tt2015381} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-SPHD.mkv,22.51,0,Only Ali has this file
Ali → Chris,godzilla vs kong w4nk3r mkv,Godzilla vs. Kong (2021) {imdb-tt5034838} [Bluray-2160p][DV HDR10Plus][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,25.52,0,Only Ali has this file
Ali → Chris,captain america the first avenger keyblade mkv,Captain America The First Avenger (2011) {imdb-tt0458339} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-KeYBLaDE.mkv,24.25,0,Only Ali has this file
Ali → Chris,the matrix w4nk3r mkv,The Matrix (1999) {imdb-tt0133093} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,40.09,0,Only Ali has this file
Ali → Chris,the matrix reloaded w4nk3r mkv,The Matrix Reloaded (2003) {imdb-tt0234215} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,42.28,0,Only Ali has this file
Ali → Chris,the super mario bros movie w4nk3r mkv,The Super Mario Bros. Movie (2023) {imdb-tt6718170} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,21.43,0,Only Ali has this file
Ali → Chris,e t the extra terrestrial ctrlhd mkv,E.T. the Extra-Terrestrial (1982) {imdb-tt0083866} [Bluray-2160p][HDR10][DTS-X 7.1][x265]-CtrlHD.mkv,38.81,0,Only Ali has this file
Ali → Chris,venom let there be carnage w4nk3r mkv,Venom Let There Be Carnage (2021) {imdb-tt7097896} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,25.41,0,Only Ali has this file
Ali → Chris,the hunger games mockingjay part 2 mainframe mkv,The Hunger Games Mockingjay Part 2 (2015) {imdb-tt1951266} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-MainFrame.mkv,26.62,0,Only Ali has this file
Ali → Chris,tenet sphd mkv,Tenet (2020) {imdb-tt6723592} {edition-Imax} [Bluray-2160p][DV HDR10][DTS-HD MA 5.1][x265]-SPHD.mkv,44.98,0,Only Ali has this file
Ali → Chris,iron man mainframe mkv,Iron Man (2008) {imdb-tt0371746} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-MainFrame.mkv,25.92,0,Only Ali has this file
Ali → Chris,venom the last dance mainframe mkv,Venom The Last Dance (2024) {imdb-tt16366836} [Bluray-2160p][DV HDR10Plus][TrueHD Atmos 7.1][x265]-MainFrame.mkv,23.21,0,Only Ali has this file
